region,block,row_class,child,share,tier,provenance
AT,road_pipe,other,ROAD.FRT,0.6659,1-SBS,ESTAT.SBSH49 Y11 observed shares
AT,road_pipe,other,ROAD.PAX,0.2761,1-SBS,ESTAT.SBSH49 Y11 observed shares
AT,road_pipe,other,PIPE,0.058,1-SBS,ESTAT.SBSH49 Y11 observed shares
AT,road_pipe,fuel_liquid,ROAD.FRT,1.0,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
AT,road_pipe,fuel_liquid,ROAD.PAX,0.0,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
AT,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
AT,road_pipe,Q,ROAD.FRT,21364.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
AT,road_pipe,Q,ROAD.PAX,0.0,none,no observed volume: child stays MEUR (declared)
AT,rail,other,TRN.P,0.2557,1-SBS,ESTAT.SBSH49 Y11 observed shares
AT,rail,other,TRN.F,0.7443,1-SBS,ESTAT.SBSH49 Y11 observed shares
AT,rail,fuel_liquid,TRN.P,0.3463,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
AT,rail,fuel_liquid,TRN.F,0.6537,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
AT,rail,Q,TRN.P,10778.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
AT,rail,Q,TRN.F,20345.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
AT,sea,other,SEA,1.0,5-median,SBS Y11 median shares (RoW / no data)
AT,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
AT,sea,Q,SEA,14681.7826,observed,"IMO world transport work x UNCTAD fleet share (residence) Y11, Mtkm; child re-denominates to it"
AT,iww,other,IWW,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
AT,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
AT,iww,Q,IWW,2123.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
AT,air,other,AIR.PAX,0.8455,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
AT,air,other,AIR.FRT,0.1545,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
AT,air,fuel_liquid,AIR.PAX,0.8455,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
AT,air,fuel_liquid,AIR.FRT,0.1545,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
AT,air,Q,AIR.FRT,383.371,observed,"ITF Y11, Mtkm; child re-denominates to it"
AT,air,Q,AIR.PAX,20980.2901,observed,"WB pax x ICAO stage length Y11, Mpkm; child re-denominates to it"
BE,road_pipe,other,ROAD.FRT,0.9135,1-SBS,ESTAT.SBSH49 Y11 observed shares
BE,road_pipe,other,ROAD.PAX,0.0812,1-SBS,ESTAT.SBSH49 Y11 observed shares
BE,road_pipe,other,PIPE,0.0053,1-SBS,ESTAT.SBSH49 Y11 observed shares
BE,road_pipe,fuel_liquid,ROAD.FRT,0.7035,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
BE,road_pipe,fuel_liquid,ROAD.PAX,0.2965,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
BE,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
BE,road_pipe,Q,ROAD.FRT,25878.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
BE,road_pipe,Q,ROAD.PAX,17669.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
BE,rail,other,TRN.P,0.5503,5-median,SBS Y11 median shares (RoW / no data)
BE,rail,other,TRN.F,0.4497,5-median,SBS Y11 median shares (RoW / no data)
BE,rail,fuel_liquid,TRN.P,0.6143,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
BE,rail,fuel_liquid,TRN.F,0.3857,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
BE,rail,Q,TRN.P,10669.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
BE,rail,Q,TRN.F,6698.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
BE,sea,other,SEA,1.0,5-median,SBS Y11 median shares (RoW / no data)
BE,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
BE,sea,Q,SEA,815633.7974,observed,"IMO world transport work x UNCTAD fleet share (residence) Y11, Mtkm; child re-denominates to it"
BE,iww,other,IWW,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
BE,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
BE,iww,Q,IWW,9251.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
BE,air,other,AIR.PAX,0.5687,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
BE,air,other,AIR.FRT,0.4313,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
BE,air,fuel_liquid,AIR.PAX,0.5687,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
BE,air,fuel_liquid,AIR.FRT,0.4313,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
BE,air,Q,AIR.FRT,1241.293,observed,"ITF Y11, Mtkm; child re-denominates to it"
BE,air,Q,AIR.PAX,16369.1845,observed,"WB pax x ICAO stage length Y11, Mpkm; child re-denominates to it"
BG,road_pipe,other,ROAD.FRT,0.8434,1-SBS,ESTAT.SBSH49 Y11 observed shares
BG,road_pipe,other,ROAD.PAX,0.1566,1-SBS,ESTAT.SBSH49 Y11 observed shares
BG,road_pipe,other,PIPE,0.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
BG,road_pipe,fuel_liquid,ROAD.FRT,0.7545,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
BG,road_pipe,fuel_liquid,ROAD.PAX,0.2455,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
BG,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
BG,road_pipe,Q,ROAD.FRT,17988.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
BG,road_pipe,Q,ROAD.PAX,9480.6,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
BG,rail,other,TRN.P,0.5503,5-median,SBS Y11 median shares (RoW / no data)
BG,rail,other,TRN.F,0.4497,5-median,SBS Y11 median shares (RoW / no data)
BG,rail,fuel_liquid,TRN.P,0.3849,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
BG,rail,fuel_liquid,TRN.F,0.6151,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
BG,rail,Q,TRN.P,2059.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
BG,rail,Q,TRN.F,3291.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
BG,sea,other,SEA,1.0,5-median,SBS Y11 median shares (RoW / no data)
BG,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
BG,sea,Q,SEA,68259.9125,observed,"IMO world transport work x UNCTAD fleet share (residence) Y11, Mtkm; child re-denominates to it"
BG,iww,other,IWW,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
BG,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
BG,iww,Q,IWW,1422.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
